company_id,country,sector,revenue,debt_ratio,days_late,num_employees,credit_score,years_in_business,defaulted,expected_loss
C0001,FR,Energy,355.69,0.086,8,30,461,16,0,1.1
C0002,IT,Tech,109.16,0.168,9,112,632,8,0,0.03
C0003,IT,Tech,99.72,0.449,7,341,817,5,0,0.07
C0004,ES,Tech,250.08,0.248,8,204,483,29,0,0.49
C0005,ES,Energy,362.12,0.196,7,18,575,10,0,0.62
C0006,BE,Tech,186.45,0.267,8,116,414,27,1,27.99
C0007,FR,Finance,73.66,0.053,11,397,584,6,0,0.01
C0008,IT,Energy,69.95,0.359,9,344,786,4,0,0.01
C0009,DE,Finance,66.75,0.285,11,405,649,28,0,0.02
C0010,FR,Construction,52.6,0.068,10,178,378,14,0,0.37
C0011,ES,Tech,195.71,0.168,9,464,707,23,0,0.03
C0012,BE,Tech,398.43,0.088,7,460,532,2,0,0.41
C0013,IT,Construction,179.58,0.348,6,186,310,8,0,4.75
C0014,IT,Tech,37.25,0.202,4,107,642,4,0,0.01
C0015,IT,Tech,158.61,0.124,11,481,464,11,0,0.35
C0016,IT,Finance,161.75,0.581,8,178,834,12,0,0.17
C0017,ES,Energy,786.19,0.422,4,250,847,15,0,0.19
C0018,FR,Retail,65.37,0.254,8,466,669,10,0,0.04
C0019,BE,Energy,137.9,0.272,4,138,647,18,0,0.09
C0020,ES,Energy,598.3,0.255,9,442,467,36,0,0.74
C0021,ES,Finance,248.39,0.292,9,84,338,4,1,43.3
C0022,DE,Construction,268.89,0.173,12,150,333,35,0,1.0
C0023,FR,Retail,196.41,0.593,10,197,555,17,0,0.33
C0024,BE,Retail,228.37,0.375,16,244,474,23,0,1.48
C0025,IT,Construction,312.41,0.219,9,125,828,27,0,0.08
C0026,IT,Retail,102.86,0.277,6,442,461,29,0,0.15
C0027,ES,Tech,335.17,0.228,11,334,418,37,0,1.61
C0028,BE,Retail,69.33,0.134,10,336,750,39,0,0.0
C0029,ES,Retail,228.12,0.485,9,367,759,4,0,0.13
C0030,ES,Finance,205.43,0.037,6,320,507,16,0,0.02
C0031,ES,Retail,117.75,0.143,7,323,344,22,0,0.74
C0032,DE,Retail,178.42,0.486,4,331,354,21,0,1.32
C0033,FR,Finance,117.24,0.491,17,361,586,39,0,0.62
C0034,ES,Retail,85.61,0.244,4,460,778,26,0,0.02
C0035,BE,Finance,141.52,0.136,9,102,512,16,0,0.15
C0036,FR,Retail,83.7,0.128,9,261,309,36,0,0.18
C0037,BE,Retail,227.23,0.258,6,96,506,29,1,31.23
C0038,BE,Retail,81.04,0.095,10,94,301,32,1,8.69
C0039,DE,Construction,298.38,0.308,11,475,532,25,0,0.29
C0040,IT,Construction,79.28,0.376,5,238,561,3,1,13.2
C0041,FR,Energy,121.95,0.244,7,353,701,38,0,0.0
C0042,IT,Tech,117.07,0.307,7,365,338,28,0,0.23
C0043,IT,Retail,458.34,0.394,6,20,564,6,0,0.17
C0044,DE,Energy,228.42,0.272,7,248,397,10,0,0.92
C0045,FR,Tech,156.3,0.25,9,94,556,14,0,0.03
C0046,BE,Energy,257.01,0.643,9,160,841,10,0,0.1
C0047,ES,Construction,41.47,0.332,9,98,707,25,0,0.11
C0048,BE,Finance,175.88,0.402,9,334,764,22,0,0.06
C0049,IT,Energy,733.82,0.32,8,70,321,9,1,84.82
C0050,IT,Retail,198.87,0.289,10,227,720,28,0,0.02
C0051,IT,Tech,190.1,0.283,10,156,776,12,0,0.01
C0052,FR,Finance,266.05,0.383,12,481,668,7,0,0.17
C0053,DE,Energy,339.31,0.081,10,395,730,38,0,0.05
C0054,ES,Construction,44.78,0.488,3,179,326,13,1,10.94
C0055,ES,Energy,55.83,0.256,7,150,706,10,0,0.04
C0056,FR,Retail,210.02,0.06,6,360,759,28,0,0.0
C0057,ES,Finance,109.9,0.121,10,317,426,30,0,0.13
C0058,FR,Construction,454.15,0.128,4,279,559,6,0,0.32
C0059,IT,Finance,145.38,0.071,5,40,532,3,0,0.13
C0060,IT,Finance,46.8,0.27,10,43,354,34,0,0.15
C0061,BE,Tech,74.62,0.329,3,319,370,20,0,0.58
C0062,IT,Tech,26.45,0.19,15,237,465,18,0,0.01
C0063,DE,Tech,153.87,0.189,7,415,360,17,0,0.7
C0064,BE,Finance,158.88,0.103,8,19,576,23,0,0.04
C0065,ES,Energy,134.68,0.344,9,97,330,27,1,13.43
C0066,DE,Energy,385.76,0.51,9,395,307,4,0,5.88
C0067,BE,Finance,419.46,0.183,2,489,646,11,0,0.11
C0068,DE,Construction,160.89,0.184,4,368,438,38,0,0.68
C0069,FR,Finance,40.68,0.397,8,11,507,7,0,0.23
C0070,ES,Finance,279.25,0.277,7,30,484,36,0,0.02
C0071,IT,Retail,267.4,0.159,1,439,558,16,0,0.16
C0072,FR,Tech,225.11,0.271,10,252,555,8,0,0.07
C0073,ES,Construction,360.34,0.083,7,250,373,24,0,2.59
C0074,FR,Finance,80.21,0.185,10,480,301,26,0,0.03
